,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z,0.54,0.009,0.523,0.557,0.0,0.0,11969.0,11164.0,1.0
t,0.296,0.016,0.264,0.325,0.0,0.0,11441.0,10001.0,1.0
v_Intercept,0.339,0.038,0.266,0.409,0.0,0.0,12128.0,12227.0,1.0
v_coherence,2.054,0.199,1.695,2.437,0.001,0.001,19180.0,12222.0,1.0
v_session,0.006,0.043,-0.073,0.087,0.0,0.0,9539.0,11097.0,1.0
v_caps_group[low_caps],-0.023,0.044,-0.111,0.056,0.0,0.0,9671.0,11007.0,1.0
v_session:caps_group[low_caps],-0.098,0.059,-0.205,0.016,0.001,0.0,8400.0,9822.0,1.0
a_Intercept,1.699,0.036,1.63,1.765,0.0,0.0,14454.0,12500.0,1.0
a_coherence,-1.255,0.188,-1.608,-0.896,0.001,0.001,20157.0,11629.0,1.0
a_session,-0.022,0.038,-0.095,0.049,0.0,0.0,11667.0,11942.0,1.0
a_caps_group[low_caps],-0.094,0.038,-0.166,-0.024,0.0,0.0,11657.0,11753.0,1.0
a_session:caps_group[low_caps],0.206,0.054,0.108,0.31,0.001,0.0,10375.0,11206.0,1.0
